Countries,FTA_Flag,FTA,DIF_Yr,Date_In_Force,Year_Fraction,FTA2,DIF_Yr2,Date_In_Force2,Year_Fraction2
Australia,FTA,CPTPP,2018,12/30/2018,0.74,CPTPP,2018,12/30/2018,0.74
Austria,FTA,CETA,2017,9/21/2017,2.01,,,,
Belgium,FTA,CETA,2017,9/21/2017,2.01,,,,
Brunei Darussalam,FTA,CPTPP,2018,12/30/2018,0.74,,,,
Bulgaria,FTA,CETA,2017,9/21/2017,2.01,,,,
Chile,FTA,Canada-Chile FTA,1997,7/5/1997,22.23,,,,
Colombia,FTA,Canada-Colombia FTA,2011,8/15/2011,8.11,,,,
Costa Rica,FTA,Canada-Costa Rica FTA,2002,7/1/2002,17.24,,,,
Croatia,FTA,CETA,2017,9/21/2017,2.01,,,,
Cyprus,FTA,CETA,2017,9/21/2017,2.01,,,,
Czech Republic,FTA,CETA,2017,9/21/2017,2.01,,,,
Denmark,FTA,CETA,2017,9/21/2017,2.01,,,,
Estonia,FTA,CETA,2017,9/21/2017,2.01,,,,
EU,FTA,CETA,2017,9/21/2017,2.01,,,,
Finland,FTA,CETA,2017,9/21/2017,2.01,,,,
France,FTA,CETA,2017,9/21/2017,2.01,,,,
Germany,FTA,CETA,2017,9/21/2017,2.01,,,,
Greece,FTA,CETA,2017,9/21/2017,2.01,,,,
Honduras,FTA,Canada-Honduras FTA,2014,10/1/2014,4.99,,,,
Hungary,FTA,CETA,2017,9/21/2017,2.01,,,,
Iceland,FTA,EFTA,2002,7/1/2002,17.24,,,,
Ireland,FTA,CETA,2017,9/21/2017,2.01,,,,
Israel,FTA,Canada-Israel FTA,1997,1/1/1997,22.74,,,,
Italy,FTA,CETA,2017,9/21/2017,2.01,,,,
Japan,FTA,CPTPP,2018,12/30/2018,0.74,,,,
Jordan,FTA,Canada-Jordan FTA,2012,10/1/2012,6.99,,,,
Latvia,FTA,CETA,2017,9/21/2017,2.01,,,,
Liechtensein,FTA,EFTA,2002,7/1/2002,17.24,,,,
Lithuania,FTA,CETA,2017,9/21/2017,2.01,,,,
Luxembourg,FTA,CETA,2017,9/21/2017,2.01,,,,
Malaysia,FTA,CPTPP,2018,12/30/2018,0.74,,,,
Malta,FTA,CETA,2017,9/21/2017,2.01,,,,
Mexico,FTA,NAFTA,1994,1/1/1994,25.74,CPTPP,2018,12/30/2018,0.74
Netherlands,FTA,CETA,2017,9/21/2017,2.01,,,,
New Zealand,FTA,CPTPP,2018,12/30/2018,0.74,,,,
Norway,FTA,EFTA,2002,7/1/2002,17.24,,,,
Panama,FTA,Canada-Panama FTA,2013,4/1/2013,6.49,,,,
Peru,FTA,Canada-Peru FTA,2009,8/1/2009,10.15,CPTPP,2018,12/30/2018,0.74
Poland,FTA,CETA,2017,9/21/2017,2.01,,,,
Portugal,FTA,CETA,2017,9/21/2017,2.01,,,,
Romania,FTA,CETA,2017,9/21/2017,2.01,,,,
Singapore,FTA,CPTPP,2018,12/30/2018,0.74,,,,
Slovakia,FTA,CETA,2017,9/21/2017,2.01,,,,
Slovenia,FTA,CETA,2017,9/21/2017,2.01,,,,
South Korea,FTA,Canada-Korean FTA,2015,1/1/2015,4.74,,,,
Spain,FTA,CETA,2017,9/21/2017,2.01,,,,
Sweden,FTA,CETA,2017,9/21/2017,2.01,,,,
Switzerland,FTA,EFTA,2002,7/1/2002,17.24,,,,
Ukraine,FTA,Canada-Ukraine FTA,2017,8/1/2017,2.15,,,,
United Kingdom,FTA,CETA,2017,9/21/2017,2.01,,,,
United States,FTA,NAFTA,1994,1/1/1994,25.74,,,,
Vietnam,FTA,CPTPP,2018,12/30/2018,0.74,,,,
